Date,AQI Value,Main Pollutant,Site Name,Site ID,Source
01/01/2011,119,PM2.5,Intermediate School 143,36-061-0115,AQS
01/02/2011,76,PM2.5,Intermediate School 143,36-061-0115,AQS
01/03/2011,57,PM2.5,Intermediate School 143,36-061-0115,AQS
01/04/2011,86,PM2.5,Elizabeth Lab,34-039-0004,AQS
01/05/2011,72,PM2.5,Intermediate School 143,36-061-0115,AQS
01/06/2011,69,PM2.5,Eisenhower Park,36-059-0005,AQS
01/07/2011,79,PM2.5,Intermediate School 143,36-061-0115,AQS
01/08/2011,76,PM2.5,Intermediate School 143,36-061-0115,AQS
01/09/2011,61,PM2.5,Intermediate School 143,36-061-0115,AQS
01/10/2011,59,PM2.5,Intermediate School 143,36-061-0115,AQS
01/11/2011,61,PM2.5,Intermediate School 143,36-061-0115,AQS
01/12/2011,65,PM2.5,Intermediate School 143,36-061-0115,AQS
01/13/2011,57,PM2.5,Intermediate School 143,36-061-0115,AQS
01/14/2011,70,PM2.5,Intermediate School 143,36-061-0115,AQS
01/15/2011,84,PM2.5,Morrisania,36-005-0080,AQS
01/16/2011,86,PM2.5,Intermediate School 143,36-061-0115,AQS
01/17/2011,104,PM2.5,Intermediate School 143,36-061-0115,AQS
01/18/2011,60,PM2.5,Intermediate School 143,36-061-0115,AQS
01/19/2011,67,PM2.5,Intermediate School 143,36-061-0115,AQS
01/20/2011,60,PM2.5,Intermediate School 143,36-061-0115,AQS
01/21/2011,71,PM2.5,Intermediate School 143,36-061-0115,AQS
01/22/2011,90,SO2,Chester,34-027-3001,AQS
01/23/2011,71,PM2.5,Intermediate School 143,36-061-0115,AQS
01/24/2011,64,PM2.5,Mamaroneck,36-119-1002,AQS
01/25/2011,93,PM2.5,Intermediate School 143,36-061-0115,AQS
01/26/2011,102,PM2.5,Elizabeth Lab,34-039-0004,AQS
01/27/2011,74,PM2.5,Ps 19,36-061-0128,AQS
01/28/2011,97,PM2.5,Elizabeth Lab,34-039-0004,AQS
01/29/2011,81,PM2.5,Elizabeth Lab,34-039-0004,AQS
01/30/2011,80,PM2.5,Elizabeth Lab,34-039-0004,AQS
01/31/2011,81,PM2.5,Intermediate School 143,36-061-0115,AQS
02/01/2011,76,PM2.5,Intermediate School 143,36-061-0115,AQS
02/02/2011,68,PM2.5,Intermediate School 143,36-061-0115,AQS
02/03/2011,59,PM2.5,Jersey City Firehouse,34-017-1003,AQS
02/04/2011,82,PM2.5,Intermediate School 143,36-061-0115,AQS
02/05/2011,89,PM2.5,Intermediate School 143,36-061-0115,AQS
02/06/2011,71,PM2.5,Jersey City Firehouse,34-017-1003,AQS
02/07/2011,89,SO2,Chester,34-027-3001,AQS
02/08/2011,66,PM2.5,Intermediate School 143,36-061-0115,AQS
02/09/2011,64,PM2.5,Intermediate School 143,36-061-0115,AQS
02/10/2011,62,PM2.5,Jersey City Firehouse,34-017-1003,AQS
02/11/2011,73,PM2.5,Elizabeth Lab,34-039-0004,AQS
02/12/2011,72,PM2.5,Intermediate School 143,36-061-0115,AQS
02/13/2011,65,PM2.5,Intermediate School 143,36-061-0115,AQS
02/14/2011,59,PM2.5,Intermediate School 143,36-061-0115,AQS
02/15/2011,57,PM2.5,Intermediate School 143,36-061-0115,AQS
02/16/2011,65,NO2,Elizabeth Lab,34-039-0004,AQS
02/17/2011,98,PM2.5,Intermediate School 143,36-061-0115,AQS
02/18/2011,82,PM2.5,Intermediate School 143,36-061-0115,AQS
02/19/2011,56,PM2.5,Intermediate School 143,36-061-0115,AQS
02/20/2011,65,PM2.5,Intermediate School 143,36-061-0115,AQS
02/21/2011,72,PM2.5,Intermediate School 143,36-061-0115,AQS
02/22/2011,64,PM2.5,Intermediate School 143,36-061-0115,AQS
02/23/2011,79,PM2.5,Is 45,36-061-0079,AQS
02/24/2011,96,NO2,Elizabeth Lab,34-039-0004,AQS
02/25/2011,64,PM2.5,Intermediate School 143,36-061-0115,AQS
02/26/2011,53,PM2.5,Intermediate School 143,36-061-0115,AQS
02/27/2011,71,PM2.5,Intermediate School 143,36-061-0115,AQS
02/28/2011,65,PM2.5,Intermediate School 143,36-061-0115,AQS
03/01/2011,62,PM2.5,Intermediate School 143,36-061-0115,AQS
03/02/2011,56,PM2.5,Intermediate School 143,36-061-0115,AQS
03/03/2011,60,PM2.5,Intermediate School 143,36-061-0115,AQS
03/04/2011,66,NO2,Elizabeth Lab,34-039-0004,AQS
03/05/2011,48,Ozone,Babylon,36-103-0002,AQS
03/06/2011,47,Ozone,Babylon,36-103-0002,AQS
03/07/2011,45,PM2.5,Intermediate School 143,36-061-0115,AQS
03/08/2011,64,PM2.5,Intermediate School 143,36-061-0115,AQS
03/09/2011,54,PM2.5,Intermediate School 143,36-061-0115,AQS
03/10/2011,55,PM2.5,Intermediate School 143,36-061-0115,AQS
03/11/2011,53,PM2.5,Intermediate School 143,36-061-0115,AQS
03/12/2011,57,PM2.5,Intermediate School 143,36-061-0115,AQS
03/13/2011,56,PM2.5,Intermediate School 143,36-061-0115,AQS
03/14/2011,56,PM2.5,Intermediate School 143,36-061-0115,AQS
03/15/2011,65,PM2.5,Intermediate School 143,36-061-0115,AQS
03/16/2011,64,PM2.5,Elizabeth Lab,34-039-0004,AQS
03/17/2011,58,PM2.5,Intermediate School 143,36-061-0115,AQS
03/18/2011,61,PM2.5,Intermediate School 143,36-061-0115,AQS
03/19/2011,45,Ozone,Babylon,36-103-0002,AQS
03/20/2011,52,PM2.5,Intermediate School 143,36-061-0115,AQS
03/21/2011,53,PM2.5,Ps 154,36-005-0113,AQS
03/22/2011,48,PM2.5,Intermediate School 143,36-061-0115,AQS
03/23/2011,67,NO2,Newark Firehouse,34-013-0003,AQS
03/24/2011,60,PM2.5,Intermediate School 143,36-061-0115,AQS
03/25/2011,50,PM2.5,Intermediate School 143,36-061-0115,AQS
03/26/2011,49,PM2.5,Intermediate School 143,36-061-0115,AQS
03/27/2011,45,Ozone,Rockland County,36-087-0005,AQS
03/28/2011,45,Ozone,Rockland County,36-087-0005,AQS
03/29/2011,51,PM2.5,Is 74,36-005-0112,AQS
03/30/2011,47,NO2,Bayonne,34-017-0006,AQS
03/31/2011,49,PM2.5,Intermediate School 143,36-061-0115,AQS
04/01/2011,44,Ozone,Rockland County,36-087-0005,AQS
04/02/2011,53,PM2.5,Intermediate School 143,36-061-0115,AQS
04/03/2011,54,PM2.5,Jersey City Firehouse,34-017-1003,AQS
04/04/2011,78,PM2.5,Freshkills West,36-085-0111,AQS
04/05/2011,57,PM2.5,Intermediate School 143,36-061-0115,AQS
04/06/2011,55,PM2.5,Is 74,36-005-0112,AQS
04/07/2011,63,PM2.5,Elizabeth Lab,34-039-0004,AQS
04/08/2011,73,PM2.5,Elizabeth Lab,34-039-0004,AQS
04/09/2011,72,PM2.5,Division Street,36-061-0134,AQS
04/10/2011,53,PM2.5,Intermediate School 143,36-061-0115,AQS
04/11/2011,70,PM2.5,Intermediate School 143,36-061-0115,AQS
04/12/2011,48,Ozone,Rockland County,36-087-0005,AQS
04/13/2011,49,PM2.5,Elizabeth Lab,34-039-0004,AQS
04/14/2011,75,PM2.5,Is 74,36-005-0112,AQS
04/15/2011,41,Ozone,Mt Ninham,36-079-0005,AQS
04/16/2011,48,Ozone,Rutgers University,34-023-0011,AQS
04/17/2011,48,Ozone,Rutgers University,34-023-0011,AQS
04/18/2011,61,NO2,Newark Firehouse,34-013-0003,AQS
04/19/2011,64,PM2.5,Intermediate School 143,36-061-0115,AQS
04/20/2011,72,NO2,Elizabeth Lab,34-039-0004,AQS
04/21/2011,49,Ozone,Colliers Mills,34-029-0006,AQS
04/22/2011,45,NO2,Elizabeth Lab,34-039-0004,AQS
04/23/2011,56,PM2.5,Intermediate School 143,36-061-0115,AQS
04/24/2011,66,PM2.5,Division Street,36-061-0134,AQS
04/25/2011,76,PM2.5,Elizabeth Lab,34-039-0004,AQS
04/26/2011,62,SO2,Bayonne,34-017-0006,AQS
04/27/2011,59,PM2.5,Division Street,36-061-0134,AQS
04/28/2011,48,Ozone,Valley Central High School,36-071-5001,AQS
04/29/2011,136,Ozone,Mt Ninham,36-079-0005,AQS
04/30/2011,50,Ozone,Mt Ninham,36-079-0005,AQS
05/01/2011,55,NO2,Elizabeth Lab,34-039-0004,AQS
05/02/2011,50,NO2,Newark Firehouse,34-013-0003,AQS
05/03/2011,65,PM2.5,Division Street,36-061-0134,AQS
05/04/2011,41,NO2,Bayonne,34-017-0006,AQS
05/05/2011,50,NO2,Newark Firehouse,34-013-0003,AQS
05/06/2011,74,Ozone,Susan Wagner Hs,36-085-0067,AQS
05/07/2011,64,Ozone,Babylon,36-103-0002,AQS
05/08/2011,54,Ozone,Susan Wagner Hs,36-085-0067,AQS
05/09/2011,44,PM10,Jersey City Firehouse,34-017-1003,AQS
05/10/2011,47,Ozone,Colliers Mills,34-029-0006,AQS
05/11/2011,44,Ozone,Flemington,34-019-0001,AQS
05/12/2011,64,PM2.5,Elizabeth Mitchell Bldg,34-039-0006,AQS
05/13/2011,41,Ozone,Monmouth University,34-025-0005,AQS
05/14/2011,36,Ozone,Babylon,36-103-0002,AQS
05/15/2011,65,PM2.5,Elizabeth Lab,34-039-0004,AQS
05/16/2011,54,PM2.5,Elizabeth Lab,34-039-0004,AQS
05/17/2011,44,Ozone,Colliers Mills,34-029-0006,AQS
05/18/2011,51,PM2.5,Rahway,34-039-2003,AQS
05/19/2011,52,PM2.5,Elizabeth Lab,34-039-0004,AQS
05/20/2011,61,PM2.5,Jersey City Firehouse,34-017-1003,AQS
05/21/2011,87,Ozone,Monmouth University,34-025-0005,AQS
05/22/2011,51,Ozone,Susan Wagner Hs,36-085-0067,AQS
05/23/2011,52,PM2.5,Ps 19,36-061-0128,AQS
05/24/2011,75,PM2.5,Union City,34-017-2002,AQS
05/25/2011,90,Ozone,Rutgers University,34-023-0011,AQS
05/26/2011,93,Ozone,Flemington,34-019-0001,AQS
05/27/2011,115,Ozone,Ramapo,34-031-5001,AQS
05/28/2011,56,PM2.5,Elizabeth Lab,34-039-0004,AQS
05/29/2011,58,Ozone,Flemington,34-019-0001,AQS
05/30/2011,97,Ozone,Monmouth University,34-025-0005,AQS
05/31/2011,119,Ozone,Rutgers University,34-023-0011,AQS
06/01/2011,166,Ozone,Rutgers University,34-023-0011,AQS
06/02/2011,64,Ozone,Colliers Mills,34-029-0006,AQS
06/03/2011,49,Ozone,Riverhead,36-103-0004,AQS
06/04/2011,49,Ozone,Babylon,36-103-0002,AQS
06/05/2011,42,Ozone,Flemington,34-019-0001,AQS
06/06/2011,122,Ozone,Susan Wagner Hs,36-085-0067,AQS
06/07/2011,172,Ozone,Monmouth University,34-025-0005,AQS
06/08/2011,159,Ozone,Colliers Mills,34-029-0006,AQS
06/09/2011,197,Ozone,Babylon,36-103-0002,AQS
06/10/2011,136,Ozone,Leonia,34-003-0006,AQS
06/11/2011,58,PM2.5,Toms River,34-029-2002,AQS
06/12/2011,40,PM2.5,Jersey City Firehouse,34-017-1003,AQS
06/13/2011,41,Ozone,Riverhead,36-103-0004,AQS
06/14/2011,38,PM2.5,Newark Firehouse,34-013-0003,AQS
06/15/2011,53,PM2.5,Jersey City Firehouse,34-017-1003,AQS
06/16/2011,93,Ozone,Riverhead,36-103-0004,AQS
06/17/2011,67,Ozone,Flemington,34-019-0001,AQS
06/18/2011,126,Ozone,Colliers Mills,34-029-0006,AQS
06/19/2011,71,Ozone,Colliers Mills,34-029-0006,AQS
06/20/2011,97,Ozone,Flemington,34-019-0001,AQS
06/21/2011,87,Ozone,Millbrook,36-027-0007,AQS
06/22/2011,73,PM2.5,Elizabeth Lab,34-039-0004,AQS
06/23/2011,104,PM2.5,Elizabeth Lab,34-039-0004,AQS
06/24/2011,62,PM2.5,Elizabeth Lab,34-039-0004,AQS
06/25/2011,77,Ozone,Babylon,36-103-0002,AQS
06/26/2011,57,PM2.5,Eisenhower Park,36-059-0005,AQS
06/27/2011,71,Ozone,Rutgers University,34-023-0011,AQS
06/28/2011,115,Ozone,Millbrook,36-027-0007,AQS
06/29/2011,67,Ozone,Monmouth University,34-025-0005,AQS
06/30/2011,61,Ozone,Colliers Mills,34-029-0006,AQS
07/01/2011,54,Ozone,Monmouth University,34-025-0005,AQS
07/02/2011,90,Ozone,Susan Wagner Hs,36-085-0067,AQS
07/03/2011,92,PM2.5,Ps 19,36-061-0128,AQS
07/04/2011,126,Ozone,Babylon,36-103-0002,AQS
07/05/2011,108,Ozone,Babylon,36-103-0002,AQS
07/06/2011,133,Ozone,Newark Firehouse,34-013-0003,AQS
07/07/2011,185,Ozone,Babylon,36-103-0002,AQS
07/08/2011,99,PM2.5,Elizabeth Lab,34-039-0004,AQS
07/09/2011,51,PM2.5,Flemington,34-019-0001,AQS
07/10/2011,97,Ozone,White Plains,36-119-2004,AQS
07/11/2011,136,Ozone,Leonia,34-003-0006,AQS
07/12/2011,90,Ozone,Rutgers University,34-023-0011,AQS
07/13/2011,55,PM2.5,Toms River,34-029-2002,AQS
07/14/2011,59,PM2.5,New Brunswick,34-023-0006,AQS
07/15/2011,93,Ozone,Babylon,36-103-0002,AQS
07/16/2011,156,Ozone,Babylon,36-103-0002,AQS
07/17/2011,77,Ozone,Millbrook,36-027-0007,AQS
07/18/2011,136,Ozone,Monmouth University,34-025-0005,AQS
07/19/2011,161,Ozone,Rutgers University,34-023-0011,AQS
07/20/2011,185,Ozone,Millbrook,36-027-0007,AQS
07/21/2011,166,Ozone,Rutgers University,34-023-0011,AQS
07/22/2011,209,Ozone,Babylon,36-103-0002,AQS
07/23/2011,147,Ozone,Babylon,36-103-0002,AQS
07/24/2011,133,Ozone,Monmouth University,34-025-0005,AQS
07/25/2011,54,PM2.5,Elizabeth Lab,34-039-0004,AQS
07/26/2011,67,Ozone,Queens College 2,36-081-0124,AQS
07/27/2011,48,Ozone,Monmouth University,34-025-0005,AQS
07/28/2011,90,Ozone,Susan Wagner Hs,36-085-0067,AQS
07/29/2011,119,Ozone,Rutgers University,34-023-0011,AQS
07/30/2011,66,PM2.5,Jersey City Firehouse,34-017-1003,AQS
07/31/2011,129,Ozone,Susan Wagner Hs,36-085-0067,AQS
08/01/2011,122,Ozone,Colliers Mills,34-029-0006,AQS
08/02/2011,74,PM2.5,Toms River,34-029-2002,AQS
08/03/2011,66,PM2.5,Ps 19,36-061-0128,AQS
08/04/2011,74,Ozone,Susan Wagner Hs,36-085-0067,AQS
08/05/2011,105,Ozone,Flemington,34-019-0001,AQS
08/06/2011,67,Ozone,Susan Wagner Hs,36-085-0067,AQS
08/07/2011,75,PM2.5,Babylon,36-103-0002,AQS
08/08/2011,64,Ozone,Babylon,36-103-0002,AQS
08/09/2011,69,PM2.5,Is 74,36-005-0112,AQS
08/10/2011,82,PM2.5,Division Street,36-061-0134,AQS
08/11/2011,44,Ozone,Babylon,36-103-0002,AQS
08/12/2011,50,Ozone,Monmouth University,34-025-0005,AQS
08/13/2011,80,Ozone,Monmouth University,34-025-0005,AQS
08/14/2011,50,Ozone,Babylon,36-103-0002,AQS
08/15/2011,48,NO2,Elizabeth Lab,34-039-0004,AQS
08/16/2011,35,Ozone,Millbrook,36-027-0007,AQS
08/17/2011,80,PM2.5,Queens College 2,36-081-0124,AQS
08/18/2011,74,Ozone,Flemington,34-019-0001,AQS
08/19/2011,93,Ozone,Flemington,34-019-0001,AQS
08/20/2011,126,Ozone,Babylon,36-103-0002,AQS
08/21/2011,58,PM2.5,Jersey City Firehouse,34-017-1003,AQS
08/22/2011,41,PM2.5,Division Street,36-061-0134,AQS
08/23/2011,43,Ozone,Babylon,36-103-0002,AQS
08/24/2011,71,Ozone,Chester,34-027-3001,AQS
08/25/2011,71,PM2.5,Elizabeth Lab,34-039-0004,AQS
08/26/2011,80,Ozone,Rutgers University,34-023-0011,AQS
08/27/2011,41,PM2.5,Rockland County,36-087-0005,AQS
08/28/2011,33,PM2.5,Queens College 2,36-081-0124,AQS
08/29/2011,37,PM2.5,Rahway,34-039-2003,AQS
08/30/2011,48,Ozone,Susan Wagner Hs,36-085-0067,AQS
08/31/2011,59,PM2.5,Elizabeth Lab,34-039-0004,AQS
09/01/2011,93,Ozone,Millbrook,36-027-0007,AQS
09/02/2011,52,PM2.5,Rockland County,36-087-0005,AQS
09/03/2011,90,Ozone,Susan Wagner Hs,36-085-0067,AQS
09/04/2011,79,PM2.5,Newburgh,36-071-0002,AQS
09/05/2011,41,PM2.5,Flemington,34-019-0001,AQS
09/06/2011,47,NO2,Elizabeth Lab,34-039-0004,AQS
09/07/2011,41,NO2,Elizabeth Lab,34-039-0004,AQS
09/08/2011,36,NO2,Newark Firehouse,34-013-0003,AQS
09/09/2011,43,Ozone,Leonia,34-003-0006,AQS
09/10/2011,44,Ozone,Colliers Mills,34-029-0006,AQS
09/11/2011,34,PM2.5,Elizabeth Lab,34-039-0004,AQS
09/12/2011,60,PM2.5,Elizabeth Lab,34-039-0004,AQS
09/13/2011,93,Ozone,Susan Wagner Hs,36-085-0067,AQS
09/14/2011,97,Ozone,Newark Firehouse,34-013-0003,AQS
09/15/2011,61,PM2.5,Jhs 126,36-047-0122,AQS
09/16/2011,28,Ozone,Riverhead,36-103-0004,AQS
09/17/2011,28,NO2,Elizabeth Lab,34-039-0004,AQS
09/18/2011,34,Ozone,Ramapo,34-031-5001,AQS
09/19/2011,30,Ozone,Valley Central High School,36-071-5001,AQS
09/20/2011,43,PM2.5,Elizabeth Lab,34-039-0004,AQS
09/21/2011,67,PM2.5,Elizabeth Lab,34-039-0004,AQS
09/22/2011,47,PM2.5,Elizabeth Lab,34-039-0004,AQS
09/23/2011,45,PM2.5,Elizabeth Lab,34-039-0004,AQS
09/24/2011,52,PM2.5,Newark Firehouse,34-013-0003,AQS
09/25/2011,52,PM2.5,Jersey City Firehouse,34-017-1003,AQS
09/26/2011,62,PM2.5,Elizabeth Lab,34-039-0004,AQS
09/27/2011,61,Ozone,Mt Ninham,36-079-0005,AQS
09/28/2011,40,PM2.5,Elizabeth Lab,34-039-0004,AQS
09/29/2011,50,PM2.5,Elizabeth Lab,34-039-0004,AQS
09/30/2011,62,PM2.5,Rahway,34-039-2003,AQS
10/01/2011,54,PM2.5,Elizabeth Lab,34-039-0004,AQS
10/02/2011,32,Ozone,Babylon,36-103-0002,AQS
10/03/2011,30,NO2,Newark Firehouse,34-013-0003,AQS
10/04/2011,29,PM2.5,Maspeth Library,36-081-0120,AQS
10/05/2011,35,PM2.5,Richmond Post Office,36-085-0055,AQS
10/06/2011,55,PM10,Jersey City Firehouse,34-017-1003,AQS
10/07/2011,45,NO2,Newark Firehouse,34-013-0003,AQS
10/08/2011,56,PM2.5,Ps 274,36-047-0118,AQS
10/09/2011,67,PM2.5,Ps 19,36-061-0128,AQS
10/10/2011,84,Ozone,Babylon,36-103-0002,AQS
10/11/2011,54,PM2.5,Flemington,34-019-0001,AQS
10/12/2011,53,PM10,Jersey City Firehouse,34-017-1003,AQS
10/13/2011,37,PM2.5,Elizabeth Lab,34-039-0004,AQS
10/14/2011,40,PM2.5,Elizabeth Lab,34-039-0004,AQS
10/15/2011,46,PM2.5,Elizabeth Lab,34-039-0004,AQS
10/16/2011,39,Ozone,Susan Wagner Hs,36-085-0067,AQS
10/17/2011,43,Ozone,Babylon,36-103-0002,AQS
10/18/2011,61,NO2,Newark Firehouse,34-013-0003,AQS
10/19/2011,50,NO2,Elizabeth Lab,34-039-0004,AQS
10/20/2011,31,PM2.5,Elizabeth Lab,34-039-0004,AQS
10/21/2011,58,PM2.5,Division Street,36-061-0134,AQS
10/22/2011,34,PM2.5,Rahway,34-039-2003,AQS
10/23/2011,50,PM2.5,Flemington,34-019-0001,AQS
10/24/2011,68,PM2.5,Is 74,36-005-0112,AQS
10/25/2011,43,PM2.5,Is 74,36-005-0112,AQS
10/26/2011,61,PM2.5,Is 74,36-005-0112,AQS
10/27/2011,55,PM2.5,Division Street,36-061-0134,AQS
10/28/2011,42,NO2,Newark Firehouse,34-013-0003,AQS
10/29/2011,30,NO2,Rutgers University,34-023-0011,AQS
10/30/2011,57,PM2.5,Is 74,36-005-0112,AQS
10/31/2011,97,NO2,Elizabeth Lab,34-039-0004,AQS
11/01/2011,60,PM2.5,Richmond Post Office,36-085-0055,AQS
11/02/2011,80,PM2.5,Union City,34-017-2002,AQS
11/03/2011,74,PM2.5,Is 74,36-005-0112,AQS
11/04/2011,46,PM2.5,Is 74,36-005-0112,AQS
11/05/2011,46,NO2,Newark Firehouse,34-013-0003,AQS
11/06/2011,61,SO2,Pfizer Lab Site,36-005-0133,AQS
11/07/2011,65,PM2.5,Is 74,36-005-0112,AQS
11/08/2011,93,NO2,Elizabeth Lab,34-039-0004,AQS
11/09/2011,100,NO2,Elizabeth Lab,34-039-0004,AQS
11/10/2011,69,PM2.5,Jersey City Firehouse,34-017-1003,AQS
11/11/2011,40,PM2.5,Is 74,36-005-0112,AQS
11/12/2011,56,PM2.5,Is 74,36-005-0112,AQS
11/13/2011,58,PM2.5,Eisenhower Park,36-059-0005,AQS
11/14/2011,63,PM2.5,Is 74,36-005-0112,AQS
11/15/2011,57,PM2.5,Is 74,36-005-0112,AQS
11/16/2011,50,PM2.5,Is 74,36-005-0112,AQS
11/17/2011,40,PM2.5,Is 74,36-005-0112,AQS
11/18/2011,48,PM2.5,Is 74,36-005-0112,AQS
11/19/2011,54,PM2.5,Is 74,36-005-0112,AQS
11/20/2011,62,PM2.5,Is 74,36-005-0112,AQS
11/21/2011,52,PM2.5,Is 74,36-005-0112,AQS
11/22/2011,48,PM2.5,Elizabeth Lab,34-039-0004,AQS
11/23/2011,64,PM2.5,Queens College 2,36-081-0124,AQS
11/24/2011,53,PM2.5,Is 74,36-005-0112,AQS
11/25/2011,58,PM2.5,Is 74,36-005-0112,AQS
11/26/2011,73,PM2.5,Is 74,36-005-0112,AQS
11/27/2011,81,PM2.5,Is 74,36-005-0112,AQS
11/28/2011,53,PM2.5,Is 74,36-005-0112,AQS
11/29/2011,48,PM2.5,Elizabeth Lab,34-039-0004,AQS
11/30/2011,34,PM2.5,Is 74,36-005-0112,AQS
12/01/2011,61,NO2,Elizabeth Lab,34-039-0004,AQS
12/02/2011,100,NO2,Newark Firehouse,34-013-0003,AQS
12/03/2011,53,PM2.5,Eisenhower Park,36-059-0005,AQS
12/04/2011,63,PM2.5,Is 74,36-005-0112,AQS
12/05/2011,87,PM2.5,Paterson,34-031-0005,AQS
12/06/2011,49,PM2.5,Is 74,36-005-0112,AQS
12/07/2011,43,PM2.5,Division Street,36-061-0134,AQS
12/08/2011,52,PM2.5,Is 74,36-005-0112,AQS
12/09/2011,63,PM2.5,Elizabeth Lab,34-039-0004,AQS
12/10/2011,52,PM2.5,Is 74,36-005-0112,AQS
12/11/2011,60,PM2.5,Flemington,34-019-0001,AQS
12/12/2011,95,PM2.5,Eisenhower Park,36-059-0005,AQS
12/13/2011,77,PM2.5,Eisenhower Park,36-059-0005,AQS
12/14/2011,75,PM2.5,Elizabeth Lab,34-039-0004,AQS
12/15/2011,67,PM2.5,Ps 154,36-005-0113,AQS
12/16/2011,43,PM2.5,Is 74,36-005-0112,AQS
12/17/2011,42,PM2.5,Maspeth Library,36-081-0120,AQS
12/18/2011,46,PM2.5,Rahway,34-039-2003,AQS
12/19/2011,77,PM2.5,Elizabeth Lab,34-039-0004,AQS
12/20/2011,55,PM2.5,Is 74,36-005-0112,AQS
12/21/2011,70,PM2.5,Is 74,36-005-0112,AQS
12/22/2011,55,PM2.5,Ps 274,36-047-0118,AQS
12/23/2011,46,PM2.5,Maspeth Library,36-081-0120,AQS
12/24/2011,47,PM2.5,Eisenhower Park,36-059-0005,AQS
12/25/2011,56,PM2.5,Elizabeth Lab,34-039-0004,AQS
12/26/2011,51,PM2.5,Is 74,36-005-0112,AQS
12/27/2011,53,PM2.5,Eisenhower Park,36-059-0005,AQS
12/28/2011,46,PM2.5,Is 74,36-005-0112,AQS
12/29/2011,54,PM2.5,Is 74,36-005-0112,AQS
12/30/2011,79,PM2.5,Is 74,36-005-0112,AQS
12/31/2011,76,PM2.5,Is 74,36-005-0112,AQS
01/01/2012,63,PM2.5,Is 74,36-005-0112,AQS
01/02/2012,45,PM2.5,Is 74,36-005-0112,AQS
01/03/2012,54,PM2.5,Is 74,36-005-0112,AQS
01/04/2012,63,PM2.5,Is 74,36-005-0112,AQS
01/05/2012,67,PM2.5,Is 74,36-005-0112,AQS
01/06/2012,85,PM2.5,Is 74,36-005-0112,AQS
01/07/2012,80,PM2.5,Is 74,36-005-0112,AQS
01/08/2012,47,PM2.5,Is 74,36-005-0112,AQS
01/09/2012,55,PM2.5,Is 74,36-005-0112,AQS
01/10/2012,67,PM2.5,Elizabeth Lab,34-039-0004,AQS
01/11/2012,89,NO2,Elizabeth Lab,34-039-0004,AQS
01/12/2012,49,PM2.5,Ps 19,36-061-0128,AQS
01/13/2012,65,PM2.5,Queens College 2,36-081-0124,AQS
01/14/2012,55,PM2.5,Is 74,36-005-0112,AQS
01/15/2012,45,PM2.5,Is 74,36-005-0112,AQS
01/16/2012,55,PM2.5,Is 74,36-005-0112,AQS
01/17/2012,78,PM2.5,Is 74,36-005-0112,AQS
01/18/2012,53,PM2.5,Is 74,36-005-0112,AQS
01/19/2012,64,PM2.5,Elizabeth Lab,34-039-0004,AQS
01/20/2012,56,PM2.5,Is 74,36-005-0112,AQS
01/21/2012,61,PM2.5,Ccny,36-061-0135,AQS
01/22/2012,59,PM2.5,Ps 19,36-061-0128,AQS
01/23/2012,76,NO2,Elizabeth Lab,34-039-0004,AQS
01/24/2012,69,PM2.5,Is 74,36-005-0112,AQS
01/25/2012,57,PM2.5,Is 74,36-005-0112,AQS
01/26/2012,66,PM2.5,Union City,34-017-2002,AQS
01/27/2012,60,NO2,Elizabeth Lab,34-039-0004,AQS
01/28/2012,63,PM2.5,Division Street,36-061-0134,AQS
01/29/2012,35,PM2.5,Is 74,36-005-0112,AQS
01/30/2012,52,PM2.5,Is 74,36-005-0112,AQS
01/31/2012,58,PM2.5,Is 74,36-005-0112,AQS
02/01/2012,60,PM2.5,Is 74,36-005-0112,AQS
02/02/2012,58,PM2.5,Ccny,36-061-0135,AQS
02/03/2012,48,PM2.5,Holtsville,36-103-0009,AQS
02/04/2012,54,PM2.5,Toms River,34-029-2002,AQS
02/05/2012,52,PM2.5,Holtsville,36-103-0009,AQS
02/06/2012,58,PM2.5,Is 74,36-005-0112,AQS
02/07/2012,57,PM2.5,Is 74,36-005-0112,AQS
02/08/2012,54,PM2.5,Ps 19,36-061-0128,AQS
02/09/2012,55,PM2.5,Newark Firehouse,34-013-0003,AQS
02/10/2012,69,PM2.5,Elizabeth Lab,34-039-0004,AQS
02/11/2012,68,PM2.5,Elizabeth Lab,34-039-0004,AQS
02/12/2012,58,PM2.5,Toms River,34-029-2002,AQS
02/13/2012,52,PM2.5,Elizabeth Lab,34-039-0004,AQS
02/14/2012,65,PM2.5,New Brunswick,34-023-0006,AQS
02/15/2012,84,PM2.5,Division Street,36-061-0134,AQS
02/16/2012,77,PM2.5,Elizabeth Lab,34-039-0004,AQS
02/17/2012,57,PM2.5,Elizabeth Lab,34-039-0004,AQS
02/18/2012,47,PM2.5,Is 74,36-005-0112,AQS
02/19/2012,42,NO2,East Orange,34-013-1003,AQS
02/20/2012,40,NO2,East Orange,34-013-1003,AQS
02/21/2012,80,NO2,East Orange,34-013-1003,AQS
02/22/2012,53,PM2.5,Is 293,36-047-0121,AQS
02/23/2012,51,PM2.5,Is 293,36-047-0121,AQS
02/24/2012,50,PM2.5,Jersey City Firehouse,34-017-1003,AQS
02/25/2012,42,PM2.5,White Plains,36-119-2004,AQS
02/26/2012,47,NO2,Bayonne,34-017-0006,AQS
02/27/2012,66,PM2.5,Ps 154,36-005-0113,AQS
