Date,Country,City,Specie,count,min,max,median,variance
2021-02-17T00:00:00Z,CN,Beijing,no2,278,0.5,28.4,3.7,155.14
2021-02-14T00:00:00Z,CN,Beijing,no2,288,1.0,27.9,9.6,468.41
2021-02-11T00:00:00Z,CN,Beijing,no2,288,9.6,56.3,24.7,357.03
2020-12-28T00:00:00Z,CN,Beijing,no2,452,1.4,35.2,18.8,538.25
2021-01-05T00:00:00Z,CN,Beijing,no2,441,1.4,44.8,10.6,563.45
2021-01-24T00:00:00Z,CN,Beijing,no2,288,11.0,43.5,27.9,436.18
2021-02-20T00:00:00Z,CN,Beijing,no2,281,4.6,48.0,32.0,854.63
2021-02-25T00:00:00Z,CN,Beijing,no2,288,5.5,36.2,18.3,620.94
2021-03-08T00:00:00Z,CN,Beijing,no2,286,1.0,43.5,23.8,711.94
2021-01-04T00:00:00Z,CN,Beijing,no2,445,1.0,48.9,9.2,1394.58
2021-02-16T00:00:00Z,CN,Beijing,no2,256,0.5,12.4,1.9,45.37
2021-03-12T00:00:00Z,CN,Beijing,no2,286,8.7,29.3,19.2,232.43
2021-01-19T00:00:00Z,CN,Beijing,no2,237,5.1,27.5,15.6,393.69
2021-01-20T00:00:00Z,CN,Beijing,no2,282,5.5,36.2,17.0,529.34
2021-01-25T00:00:00Z,CN,Beijing,no2,283,9.6,43.9,34.8,347.49
2021-01-26T00:00:00Z,CN,Beijing,no2,282,3.7,40.3,23.4,811.94
2021-01-27T00:00:00Z,CN,Beijing,no2,287,1.9,41.6,20.2,980.55
2021-03-14T00:00:00Z,CN,Beijing,no2,288,7.4,45.3,23.4,859.92
2021-01-16T00:00:00Z,CN,Beijing,no2,441,1.0,30.2,5.5,310.46
2021-01-18T00:00:00Z,CN,Beijing,no2,452,1.9,36.2,15.6,620.20
2021-02-02T00:00:00Z,CN,Beijing,no2,285,0.5,30.7,7.4,384.32
2021-02-08T00:00:00Z,CN,Beijing,no2,288,0.5,36.6,15.1,463.05
2021-02-18T00:00:00Z,CN,Beijing,no2,287,2.8,44.4,11.9,669.93
2021-03-19T00:00:00Z,CN,Beijing,no2,284,6.4,29.3,17.0,243.47
2021-01-06T00:00:00Z,CN,Beijing,no2,426,0.5,34.3,2.3,595.76
2021-01-11T00:00:00Z,CN,Beijing,no2,450,1.9,47.6,8.7,978.68
2021-01-31T00:00:00Z,CN,Beijing,no2,288,6.4,26.1,14.7,209.52
2021-02-24T00:00:00Z,CN,Beijing,no2,287,6.9,31.1,13.3,197.51
2021-03-01T00:00:00Z,CN,Beijing,no2,287,3.2,24.7,7.4,77.40
2021-03-03T00:00:00Z,CN,Beijing,no2,286,1.0,30.7,21.1,197.88
2021-01-10T00:00:00Z,CN,Beijing,no2,448,0.5,36.2,5.5,591.60
2021-01-21T00:00:00Z,CN,Beijing,no2,284,13.3,42.5,29.3,354.43
2021-02-03T00:00:00Z,CN,Beijing,no2,284,0.5,33.4,15.1,1010.55
2021-02-22T00:00:00Z,CN,Beijing,no2,285,1.0,29.3,6.4,322.99
2021-03-06T00:00:00Z,CN,Beijing,no2,285,1.0,31.1,11.5,152.10
2021-01-07T00:00:00Z,CN,Beijing,no2,430,0.5,27.0,5.1,286.45
2021-01-22T00:00:00Z,CN,Beijing,no2,288,13.3,41.6,27.5,423.41
2021-01-30T00:00:00Z,CN,Beijing,no2,288,8.7,41.2,27.0,457.05
2021-02-12T00:00:00Z,CN,Beijing,no2,288,4.6,48.5,15.1,514.94
2021-02-26T00:00:00Z,CN,Beijing,no2,288,1.0,38.9,20.6,583.22
2021-03-07T00:00:00Z,CN,Beijing,no2,288,9.2,28.8,18.3,215.50
2021-03-11T00:00:00Z,CN,Beijing,no2,283,1.0,45.7,17.0,984.67
2021-01-17T00:00:00Z,CN,Beijing,no2,454,1.0,34.8,11.9,690.87
2021-01-08T00:00:00Z,CN,Beijing,no2,443,1.0,31.6,4.6,610.85
2021-02-06T00:00:00Z,CN,Beijing,no2,287,2.3,46.7,11.0,1519.17
2021-02-19T00:00:00Z,CN,Beijing,no2,288,3.2,47.6,27.9,819.80
2021-02-21T00:00:00Z,CN,Beijing,no2,288,1.9,46.2,22.4,1882.19
2021-02-27T00:00:00Z,CN,Beijing,no2,288,9.2,43.5,18.8,602.70
2021-03-21T00:00:00Z,CN,Beijing,no2,273,0.5,37.5,4.2,440.16
2021-03-22T00:00:00Z,CN,Beijing,no2,287,1.9,33.0,14.2,676.62
2020-12-29T00:00:00Z,CN,Beijing,no2,443,0.5,18.3,3.2,44.72
2021-02-10T00:00:00Z,CN,Beijing,no2,284,4.6,46.2,21.1,632.07
2021-03-18T00:00:00Z,CN,Beijing,no2,287,3.2,39.4,14.7,620.11
2021-01-12T00:00:00Z,CN,Beijing,no2,454,1.0,76.1,28.4,762.11
2021-01-03T00:00:00Z,CN,Beijing,no2,456,3.2,35.7,18.8,377.22
2021-01-15T00:00:00Z,CN,Beijing,no2,448,0.5,45.3,6.4,726.46
2021-01-23T00:00:00Z,CN,Beijing,no2,288,8.3,42.5,25.2,691.07
2021-03-09T00:00:00Z,CN,Beijing,no2,288,1.0,50.9,26.1,874.38
2020-12-31T00:00:00Z,CN,Beijing,no2,453,1.4,63.2,12.8,1010.15
2021-02-15T00:00:00Z,CN,Beijing,no2,282,0.5,14.2,3.7,59.56
2021-03-02T00:00:00Z,CN,Beijing,no2,288,4.6,23.8,10.1,164.61
2021-03-16T00:00:00Z,CN,Beijing,no2,283,3.2,36.2,8.7,358.18
2021-02-01T00:00:00Z,CN,Beijing,no2,287,0.5,30.7,3.7,643.06
2021-02-09T00:00:00Z,CN,Beijing,no2,281,6.4,41.6,20.6,563.44
2021-02-23T00:00:00Z,CN,Beijing,no2,284,3.7,18.8,10.1,54.18
2021-03-04T00:00:00Z,CN,Beijing,no2,282,11.0,42.5,26.6,416.65
2021-03-05T00:00:00Z,CN,Beijing,no2,288,6.4,47.6,18.3,1056.12
2021-03-17T00:00:00Z,CN,Beijing,no2,278,1.0,42.5,26.6,378.31
2021-03-20T00:00:00Z,CN,Beijing,no2,279,1.0,25.6,5.5,355.60
2021-02-05T00:00:00Z,CN,Beijing,no2,286,7.4,45.7,29.3,915.17
2021-01-02T00:00:00Z,CN,Beijing,no2,456,2.3,43.9,24.3,374.07
2021-01-14T00:00:00Z,CN,Beijing,no2,451,8.3,32.0,17.9,209.41
2021-01-28T00:00:00Z,CN,Beijing,no2,264,0.5,18.8,2.8,149.66
2021-02-07T00:00:00Z,CN,Beijing,no2,285,0.5,29.3,6.0,245.16
2021-01-01T00:00:00Z,CN,Beijing,no2,456,6.9,49.9,27.5,401.92
2021-01-09T00:00:00Z,CN,Beijing,no2,451,0.5,43.5,7.8,464.46
