"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2016","AQS","340030003","1","2.6","ug/m3 LC","11","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"01/04/2016","AQS","340030003","1","7.1","ug/m3 LC","30","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"01/07/2016","AQS","340030003","1","21.8","ug/m3 LC","71","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"01/10/2016","AQS","340030003","1","4.2","ug/m3 LC","18","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"01/13/2016","AQS","340030003","1","7.7","ug/m3 LC","32","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"01/16/2016","AQS","340030003","1","5.5","ug/m3 LC","23","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"01/19/2016","AQS","340030003","1","3.7","ug/m3 LC","15","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"01/22/2016","AQS","340030003","1","2.5","ug/m3 LC","10","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"01/25/2016","AQS","340030003","1","12.2","ug/m3 LC","51","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"01/28/2016","AQS","340030003","1","11.6","ug/m3 LC","48","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"01/31/2016","AQS","340030003","1","12.3","ug/m3 LC","51","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"02/03/2016","AQS","340030003","1","6.4","ug/m3 LC","27","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"02/06/2016","AQS","340030003","1","8.5","ug/m3 LC","35","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"02/09/2016","AQS","340030003","1","9.8","ug/m3 LC","41","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"02/12/2016","AQS","340030003","1","5.5","ug/m3 LC","23","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"02/15/2016","AQS","340030003","1","12.6","ug/m3 LC","52","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"02/18/2016","AQS","340030003","1","3.2","ug/m3 LC","13","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"02/21/2016","AQS","340030003","1","8","ug/m3 LC","33","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"02/24/2016","AQS","340030003","1","4.1","ug/m3 LC","17","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"02/27/2016","AQS","340030003","1","6.1","ug/m3 LC","25","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"03/01/2016","AQS","340030003","1","6.6","ug/m3 LC","28","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"03/04/2016","AQS","340030003","1","9.5","ug/m3 LC","40","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"03/07/2016","AQS","340030003","1","17.9","ug/m3 LC","63","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"03/10/2016","AQS","340030003","1","13.8","ug/m3 LC","55","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"03/13/2016","AQS","340030003","1","6.7","ug/m3 LC","28","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"03/16/2016","AQS","340030003","1","7.9","ug/m3 LC","33","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"03/19/2016","AQS","340030003","1","2.3","ug/m3 LC","10","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"03/22/2016","AQS","340030003","1","7.1","ug/m3 LC","30","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"03/25/2016","AQS","340030003","1","9.7","ug/m3 LC","40","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"03/28/2016","AQS","340030003","1","2.9","ug/m3 LC","12","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"03/31/2016","AQS","340030003","1","6.7","ug/m3 LC","28","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"04/03/2016","AQS","340030003","1","2.4","ug/m3 LC","10","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"04/06/2016","AQS","340030003","1","5.3","ug/m3 LC","22","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"04/09/2016","AQS","340030003","1","4.9","ug/m3 LC","20","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"04/12/2016","AQS","340030003","1","5.7","ug/m3 LC","24","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"04/15/2016","AQS","340030003","1","5.8","ug/m3 LC","24","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"04/18/2016","AQS","340030003","1","8.2","ug/m3 LC","34","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"04/21/2016","AQS","340030003","1","9.3","ug/m3 LC","39","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"04/24/2016","AQS","340030003","1","5.1","ug/m3 LC","21","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"04/27/2016","AQS","340030003","1","5.9","ug/m3 LC","25","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"04/30/2016","AQS","340030003","1","5.2","ug/m3 LC","22","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"05/03/2016","AQS","340030003","1","7.6","ug/m3 LC","32","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"05/06/2016","AQS","340030003","1","3.9","ug/m3 LC","16","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"05/09/2016","AQS","340030003","1","8.7","ug/m3 LC","36","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"05/12/2016","AQS","340030003","1","13.6","ug/m3 LC","54","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"05/15/2016","AQS","340030003","1","2.8","ug/m3 LC","12","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"05/18/2016","AQS","340030003","1","8.1","ug/m3 LC","34","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"05/21/2016","AQS","340030003","1","9","ug/m3 LC","38","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"05/24/2016","AQS","340030003","1","7","ug/m3 LC","29","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"05/27/2016","AQS","340030003","1","18.8","ug/m3 LC","65","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"05/30/2016","AQS","340030003","1","7.4","ug/m3 LC","31","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"06/02/2016","AQS","340030003","1","8.3","ug/m3 LC","35","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"06/05/2016","AQS","340030003","1","5.8","ug/m3 LC","24","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"06/08/2016","AQS","340030003","1","3.5","ug/m3 LC","15","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"06/11/2016","AQS","340030003","1","13.6","ug/m3 LC","54","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"06/14/2016","AQS","340030003","1","4.1","ug/m3 LC","17","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"06/17/2016","AQS","340030003","1","8.1","ug/m3 LC","34","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"06/20/2016","AQS","340030003","1","15","ug/m3 LC","57","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"06/23/2016","AQS","340030003","1","19","ug/m3 LC","66","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"06/26/2016","AQS","340030003","1","14.2","ug/m3 LC","55","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"07/02/2016","AQS","340030003","1","11.8","ug/m3 LC","49","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"07/05/2016","AQS","340030003","1","6.2","ug/m3 LC","26","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"07/08/2016","AQS","340030003","1","18","ug/m3 LC","63","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"07/11/2016","AQS","340030003","1","4.3","ug/m3 LC","18","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"07/14/2016","AQS","340030003","1","12.6","ug/m3 LC","52","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"07/17/2016","AQS","340030003","1","9.3","ug/m3 LC","39","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"07/20/2016","AQS","340030003","1","7.3","ug/m3 LC","30","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"07/23/2016","AQS","340030003","1","9.2","ug/m3 LC","38","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"07/26/2016","AQS","340030003","1","6.6","ug/m3 LC","28","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"07/29/2016","AQS","340030003","1","12.7","ug/m3 LC","52","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"08/01/2016","AQS","340030003","1","6.5","ug/m3 LC","27","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"08/04/2016","AQS","340030003","1","7.3","ug/m3 LC","30","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"08/07/2016","AQS","340030003","1","4.9","ug/m3 LC","20","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"08/10/2016","AQS","340030003","1","14.2","ug/m3 LC","55","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"08/13/2016","AQS","340030003","1","12.9","ug/m3 LC","53","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"08/16/2016","AQS","340030003","1","20.7","ug/m3 LC","69","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"08/19/2016","AQS","340030003","1","9.8","ug/m3 LC","41","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"08/22/2016","AQS","340030003","1","4.1","ug/m3 LC","17","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"08/25/2016","AQS","340030003","1","10.4","ug/m3 LC","43","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"08/28/2016","AQS","340030003","1","6.5","ug/m3 LC","27","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"08/31/2016","AQS","340030003","1","10","ug/m3 LC","42","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"09/03/2016","AQS","340030003","1","6.6","ug/m3 LC","28","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"09/06/2016","AQS","340030003","1","2.9","ug/m3 LC","12","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"09/09/2016","AQS","340030003","1","8.5","ug/m3 LC","35","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"09/12/2016","AQS","340030003","1","4.1","ug/m3 LC","17","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"09/15/2016","AQS","340030003","1","3.3","ug/m3 LC","14","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"09/18/2016","AQS","340030003","1","9.3","ug/m3 LC","39","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"09/21/2016","AQS","340030003","1","6.2","ug/m3 LC","26","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"09/24/2016","AQS","340030003","1","4.5","ug/m3 LC","19","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"09/27/2016","AQS","340030003","1","7.8","ug/m3 LC","33","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"09/30/2016","AQS","340030003","1","3.2","ug/m3 LC","13","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"10/03/2016","AQS","340030003","1","7.1","ug/m3 LC","30","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"10/06/2016","AQS","340030003","1","10.6","ug/m3 LC","44","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"10/09/2016","AQS","340030003","1","3","ug/m3 LC","13","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"10/12/2016","AQS","340030003","1","6.2","ug/m3 LC","26","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"10/15/2016","AQS","340030003","1","4.5","ug/m3 LC","19","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"10/18/2016","AQS","340030003","1","13.6","ug/m3 LC","54","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"10/21/2016","AQS","340030003","1","16.2","ug/m3 LC","60","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"10/24/2016","AQS","340030003","1","4.1","ug/m3 LC","17","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"10/27/2016","AQS","340030003","1","4.3","ug/m3 LC","18","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"10/30/2016","AQS","340030003","1","9.5","ug/m3 LC","40","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"11/02/2016","AQS","340030003","1","10.5","ug/m3 LC","44","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"11/05/2016","AQS","340030003","1","6.5","ug/m3 LC","27","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"11/08/2016","AQS","340030003","1","7","ug/m3 LC","29","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"11/11/2016","AQS","340030003","1","3.2","ug/m3 LC","13","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"11/14/2016","AQS","340030003","1","9.9","ug/m3 LC","41","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"11/17/2016","AQS","340030003","1","9.8","ug/m3 LC","41","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"11/20/2016","AQS","340030003","1","1.6","ug/m3 LC","7","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"11/23/2016","AQS","340030003","1","4.1","ug/m3 LC","17","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"11/26/2016","AQS","340030003","1","10","ug/m3 LC","42","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"11/29/2016","AQS","340030003","1","7","ug/m3 LC","29","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"12/02/2016","AQS","340030003","1","3.4","ug/m3 LC","14","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"12/05/2016","AQS","340030003","1","6.2","ug/m3 LC","26","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"12/08/2016","AQS","340030003","1","10.2","ug/m3 LC","43","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"12/11/2016","AQS","340030003","1","11.1","ug/m3 LC","46","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"12/17/2016","AQS","340030003","1","13.8","ug/m3 LC","55","Fort Lee Library","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
