Date,AQI Value,Main Pollutant,Site Name,Site ID,Source
02/24/2012,120,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
02/25/2012,97,PM2.5,Burbank,06-037-1002,AQS
02/26/2012,96,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
02/27/2012,54,PM2.5,Reseda,06-037-1201,AQS
02/28/2012,53,PM2.5,Anaheim,06-059-0007,AQS
02/29/2012,59,PM2.5,Glendora,06-037-0016,AQS
03/01/2012,54,PM2.5,Glendora,06-037-0016,AQS
03/02/2012,54,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
03/03/2012,50,NO2,Long Beach (hudson),06-037-4006,AQS
03/04/2012,58,NO2,Lax Hastings,06-037-5005,AQS
03/05/2012,58,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
03/06/2012,64,PM2.5,Glendora,06-037-0016,AQS
03/07/2012,46,Ozone,Santa Clarita,06-037-6012,AQS
03/08/2012,57,NO2,Long Beach (hudson),06-037-4006,AQS
03/09/2012,63,NO2,Long Beach (hudson),06-037-4006,AQS
03/10/2012,74,Ozone,Lancaster-division Street,06-037-9033,AQS
03/11/2012,64,Ozone,Lancaster-division Street,06-037-9033,AQS
03/12/2012,65,PM2.5,Glendora,06-037-0016,AQS
03/13/2012,71,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
03/14/2012,66,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
03/15/2012,70,PM2.5,Burbank,06-037-1002,AQS
03/16/2012,74,PM2.5,Glendora,06-037-0016,AQS
03/17/2012,44,Ozone,Lax Hastings,06-037-5005,AQS
03/18/2012,43,Ozone,Lancaster-division Street,06-037-9033,AQS
03/19/2012,49,Ozone,Lancaster-division Street,06-037-9033,AQS
03/20/2012,67,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
03/21/2012,72,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
03/22/2012,86,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
03/23/2012,77,PM2.5,Burbank,06-037-1002,AQS
03/24/2012,62,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
03/25/2012,46,Ozone,Lancaster-division Street,06-037-9033,AQS
03/26/2012,49,Ozone,Lax Hastings,06-037-5005,AQS
03/27/2012,54,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
03/28/2012,58,PM10,Lancaster-division Street,06-037-9033,AQS
03/29/2012,89,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
03/30/2012,123,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
03/31/2012,70,PM2.5,Glendora,06-037-0016,AQS
04/01/2012,66,PM10,Lancaster-division Street,06-037-9033,AQS
04/02/2012,50,Ozone,Santa Clarita,06-037-6012,AQS
04/03/2012,67,Ozone,Lancaster-division Street,06-037-9033,AQS
04/04/2012,63,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
04/05/2012,62,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
04/06/2012,61,Ozone,Glendora,06-037-0016,AQS
04/07/2012,93,Ozone,Burbank,06-037-1002,AQS
04/08/2012,133,Ozone,Glendora,06-037-0016,AQS
04/09/2012,90,Ozone,Lancaster-division Street,06-037-9033,AQS
04/10/2012,62,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
04/11/2012,45,Ozone,Lancaster-division Street,06-037-9033,AQS
04/12/2012,46,Ozone,Lancaster-division Street,06-037-9033,AQS
04/13/2012,49,Ozone,Lax Hastings,06-037-5005,AQS
04/14/2012,47,Ozone,Glendora,06-037-0016,AQS
04/15/2012,58,Ozone,Glendora,06-037-0016,AQS
04/16/2012,90,Ozone,Lancaster-division Street,06-037-9033,AQS
04/17/2012,84,Ozone,Mission Viejo,06-059-2022,AQS
04/18/2012,77,Ozone,Santa Clarita,06-037-6012,AQS
04/19/2012,80,PM2.5,Burbank,06-037-1002,AQS
04/20/2012,106,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
04/21/2012,179,Ozone,Santa Clarita,06-037-6012,AQS
04/22/2012,151,Ozone,Santa Clarita,06-037-6012,AQS
04/23/2012,74,Ozone,Lancaster-division Street,06-037-9033,AQS
04/24/2012,57,PM2.5,Glendora,06-037-0016,AQS
04/25/2012,54,PM2.5,Glendora,06-037-0016,AQS
04/26/2012,41,Ozone,Lancaster-division Street,06-037-9033,AQS
04/27/2012,58,Ozone,Lancaster-division Street,06-037-9033,AQS
04/28/2012,101,Ozone,Glendora,06-037-0016,AQS
04/29/2012,108,Ozone,Santa Clarita,06-037-6012,AQS
04/30/2012,101,Ozone,Lancaster-division Street,06-037-9033,AQS
05/01/2012,66,PM2.5,Glendora,06-037-0016,AQS
05/02/2012,64,Ozone,Lancaster-division Street,06-037-9033,AQS
05/03/2012,71,Ozone,Lancaster-division Street,06-037-9033,AQS
05/04/2012,70,PM2.5,Glendora,06-037-0016,AQS
05/05/2012,97,Ozone,Santa Clarita,06-037-6012,AQS
05/06/2012,101,Ozone,Santa Clarita,06-037-6012,AQS
05/07/2012,90,Ozone,Lancaster-division Street,06-037-9033,AQS
05/08/2012,97,Ozone,Reseda,06-037-1201,AQS
05/09/2012,119,Ozone,Lancaster-division Street,06-037-9033,AQS
05/10/2012,151,Ozone,Lancaster-division Street,06-037-9033,AQS
05/11/2012,126,Ozone,Lancaster-division Street,06-037-9033,AQS
05/12/2012,159,Ozone,Lancaster-division Street,06-037-9033,AQS
05/13/2012,140,Ozone,Santa Clarita,06-037-6012,AQS
05/14/2012,112,Ozone,Lancaster-division Street,06-037-9033,AQS
05/15/2012,84,Ozone,Santa Clarita,06-037-6012,AQS
05/16/2012,156,Ozone,Santa Clarita,06-037-6012,AQS
05/17/2012,154,Ozone,Lancaster-division Street,06-037-9033,AQS
05/18/2012,87,Ozone,Lancaster-division Street,06-037-9033,AQS
05/19/2012,150,Ozone,Santa Clarita,06-037-6012,AQS
05/20/2012,187,Ozone,Glendora,06-037-0016,AQS
05/21/2012,172,Ozone,Santa Clarita,06-037-6012,AQS
05/22/2012,126,Ozone,Glendora,06-037-0016,AQS
05/23/2012,93,Ozone,Lancaster-division Street,06-037-9033,AQS
05/24/2012,101,Ozone,Lancaster-division Street,06-037-9033,AQS
05/25/2012,71,Ozone,Lancaster-division Street,06-037-9033,AQS
05/26/2012,48,Ozone,Lancaster-division Street,06-037-9033,AQS
05/27/2012,67,Ozone,Glendora,06-037-0016,AQS
05/28/2012,122,Ozone,Glendora,06-037-0016,AQS
05/29/2012,119,Ozone,Lancaster-division Street,06-037-9033,AQS
05/30/2012,100,Ozone,Lancaster-division Street,06-037-9033,AQS
05/31/2012,164,Ozone,Santa Clarita,06-037-6012,AQS
06/01/2012,156,Ozone,Lancaster-division Street,06-037-9033,AQS
06/02/2012,129,Ozone,Lancaster-division Street,06-037-9033,AQS
06/03/2012,115,Ozone,Lancaster-division Street,06-037-9033,AQS
06/04/2012,68,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
06/05/2012,54,Ozone,Reseda,06-037-1201,AQS
06/06/2012,77,Ozone,Glendora,06-037-0016,AQS
06/07/2012,122,Ozone,Reseda,06-037-1201,AQS
06/08/2012,143,Ozone,Lancaster-division Street,06-037-9033,AQS
06/09/2012,126,Ozone,Lancaster-division Street,06-037-9033,AQS
06/10/2012,133,Ozone,Santa Clarita,06-037-6012,AQS
06/11/2012,122,Ozone,Santa Clarita,06-037-6012,AQS
06/12/2012,151,Ozone,Santa Clarita,06-037-6012,AQS
06/13/2012,154,Ozone,Lancaster-division Street,06-037-9033,AQS
06/14/2012,115,Ozone,Lancaster-division Street,06-037-9033,AQS
06/15/2012,112,Ozone,Lancaster-division Street,06-037-9033,AQS
06/16/2012,133,Ozone,Santa Clarita,06-037-6012,AQS
06/17/2012,161,Ozone,Glendora,06-037-0016,AQS
06/18/2012,99,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
06/19/2012,108,Ozone,Lancaster-division Street,06-037-9033,AQS
06/20/2012,143,Ozone,Lancaster-division Street,06-037-9033,AQS
06/21/2012,147,Ozone,Lancaster-division Street,06-037-9033,AQS
06/22/2012,93,Ozone,Glendora,06-037-0016,AQS
06/23/2012,80,Ozone,Glendora,06-037-0016,AQS
06/24/2012,87,Ozone,Lancaster-division Street,06-037-9033,AQS
06/25/2012,71,Ozone,Lancaster-division Street,06-037-9033,AQS
06/26/2012,100,Ozone,Santa Clarita,06-037-6012,AQS
06/27/2012,101,Ozone,Santa Clarita,06-037-6012,AQS
06/28/2012,126,Ozone,Lancaster-division Street,06-037-9033,AQS
06/29/2012,129,Ozone,Santa Clarita,06-037-6012,AQS
06/30/2012,133,Ozone,Santa Clarita,06-037-6012,AQS
07/01/2012,119,Ozone,Glendora,06-037-0016,AQS
07/02/2012,122,Ozone,Lancaster-division Street,06-037-9033,AQS
07/03/2012,112,Ozone,Lancaster-division Street,06-037-9033,AQS
07/04/2012,105,Ozone,Lancaster-division Street,06-037-9033,AQS
07/05/2012,115,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
07/06/2012,105,Ozone,Santa Clarita,06-037-6012,AQS
07/07/2012,140,Ozone,Santa Clarita,06-037-6012,AQS
07/08/2012,133,Ozone,Glendora,06-037-0016,AQS
07/09/2012,200,Ozone,Santa Clarita,06-037-6012,AQS
07/10/2012,174,Ozone,Reseda,06-037-1201,AQS
07/11/2012,207,Ozone,Santa Clarita,06-037-6012,AQS
07/12/2012,91,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
07/13/2012,115,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
07/14/2012,140,Ozone,Glendora,06-037-0016,AQS
07/15/2012,101,Ozone,Lancaster-division Street,06-037-9033,AQS
07/16/2012,77,Ozone,Lancaster-division Street,06-037-9033,AQS
07/17/2012,79,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
07/18/2012,51,Ozone,Lancaster-division Street,06-037-9033,AQS
07/19/2012,105,Ozone,Glendora,06-037-0016,AQS
07/20/2012,97,Ozone,Glendora,06-037-0016,AQS
07/21/2012,156,Ozone,Santa Clarita,06-037-6012,AQS
07/22/2012,151,Ozone,Santa Clarita,06-037-6012,AQS
07/23/2012,112,Ozone,Santa Clarita,06-037-6012,AQS
07/24/2012,84,Ozone,Lancaster-division Street,06-037-9033,AQS
07/25/2012,108,Ozone,Lancaster-division Street,06-037-9033,AQS
07/26/2012,101,Ozone,Santa Clarita,06-037-6012,AQS
07/27/2012,101,Ozone,Lancaster-division Street,06-037-9033,AQS
07/28/2012,147,Ozone,Santa Clarita,06-037-6012,AQS
07/29/2012,169,Ozone,Santa Clarita,06-037-6012,AQS
07/30/2012,143,Ozone,Santa Clarita,06-037-6012,AQS
07/31/2012,174,Ozone,Lancaster-division Street,06-037-9033,AQS
08/01/2012,156,Ozone,Santa Clarita,06-037-6012,AQS
08/02/2012,156,Ozone,Santa Clarita,06-037-6012,AQS
08/03/2012,129,Ozone,Lancaster-division Street,06-037-9033,AQS
08/04/2012,150,Ozone,Santa Clarita,06-037-6012,AQS
08/05/2012,169,Ozone,Santa Clarita,06-037-6012,AQS
08/06/2012,129,Ozone,Glendora,06-037-0016,AQS
08/07/2012,156,Ozone,Santa Clarita,06-037-6012,AQS
08/08/2012,174,Ozone,Glendora,06-037-0016,AQS
08/09/2012,156,Ozone,Reseda,06-037-1201,AQS
08/10/2012,192,Ozone,Santa Clarita,06-037-6012,AQS
08/11/2012,205,Ozone,Glendora,06-037-0016,AQS
08/12/2012,187,Ozone,Glendora,06-037-0016,AQS
08/13/2012,190,Ozone,Santa Clarita,06-037-6012,AQS
08/14/2012,136,Ozone,Santa Clarita,06-037-6012,AQS
08/15/2012,122,Ozone,Santa Clarita,06-037-6012,AQS
08/16/2012,126,Ozone,Glendora,06-037-0016,AQS
08/17/2012,129,Ozone,Lancaster-division Street,06-037-9033,AQS
08/18/2012,133,Ozone,Santa Clarita,06-037-6012,AQS
08/19/2012,136,Ozone,Santa Clarita,06-037-6012,AQS
08/20/2012,115,Ozone,Lancaster-division Street,06-037-9033,AQS
08/21/2012,90,Ozone,Lancaster-division Street,06-037-9033,AQS
08/22/2012,73,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
08/23/2012,105,Ozone,Lancaster-division Street,06-037-9033,AQS
08/24/2012,84,Ozone,Santa Clarita,06-037-6012,AQS
08/25/2012,101,Ozone,Glendora,06-037-0016,AQS
08/26/2012,100,Ozone,Glendora,06-037-0016,AQS
08/27/2012,126,Ozone,Santa Clarita,06-037-6012,AQS
08/28/2012,80,Ozone,Glendora,06-037-0016,AQS
08/29/2012,159,Ozone,Santa Clarita,06-037-6012,AQS
08/30/2012,115,Ozone,Santa Clarita,06-037-6012,AQS
08/31/2012,80,Ozone,Glendora,06-037-0016,AQS
09/01/2012,90,Ozone,Pomona,06-037-1701,AQS
09/02/2012,140,Ozone,Glendora,06-037-0016,AQS
09/03/2012,160,PM2.5,Wrightwood,06-037-9000,AQS
09/04/2012,101,Ozone,Santa Clarita,06-037-6012,AQS
09/05/2012,66,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
09/06/2012,64,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
09/07/2012,65,PM2.5,Burbank,06-037-1002,AQS
09/08/2012,174,Ozone,Santa Clarita,06-037-6012,AQS
09/09/2012,154,Ozone,Glendora,06-037-0016,AQS
09/10/2012,79,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
09/11/2012,74,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
09/12/2012,74,Ozone,Santa Clarita,06-037-6012,AQS
09/13/2012,93,Ozone,Reseda,06-037-1201,AQS
09/14/2012,100,Ozone,Santa Clarita,06-037-6012,AQS
09/15/2012,133,Ozone,Santa Clarita,06-037-6012,AQS
09/16/2012,147,Ozone,Santa Clarita,06-037-6012,AQS
09/17/2012,93,Ozone,Reseda,06-037-1201,AQS
09/18/2012,93,Ozone,Glendora,06-037-0016,AQS
09/19/2012,87,Ozone,Glendora,06-037-0016,AQS
09/20/2012,115,Ozone,Glendora,06-037-0016,AQS
09/21/2012,147,Ozone,Pasadena,06-037-2005,AQS
09/22/2012,140,Ozone,Glendora,06-037-0016,AQS
09/23/2012,119,Ozone,Glendora,06-037-0016,AQS
09/24/2012,64,PM2.5,Burbank,06-037-1002,AQS
09/25/2012,73,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
09/26/2012,82,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
09/27/2012,84,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
09/28/2012,77,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
09/29/2012,87,Ozone,Burbank,06-037-1002,AQS
09/30/2012,154,Ozone,Glendora,06-037-0016,AQS
10/01/2012,105,Ozone,Pasadena,06-037-2005,AQS
10/02/2012,126,Ozone,Mission Viejo,06-059-2022,AQS
10/03/2012,88,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
10/04/2012,77,Ozone,Lancaster-division Street,06-037-9033,AQS
10/05/2012,89,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
10/06/2012,79,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
10/07/2012,90,Ozone,Santa Clarita,06-037-6012,AQS
10/08/2012,69,PM2.5,Burbank,06-037-1002,AQS
10/09/2012,61,PM2.5,Burbank,06-037-1002,AQS
10/10/2012,45,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
10/11/2012,47,PM2.5,Burbank,06-037-1002,AQS
10/12/2012,48,PM2.5,Burbank,06-037-1002,AQS
10/13/2012,61,PM2.5,Burbank,06-037-1002,AQS
10/14/2012,62,PM2.5,Anaheim,06-059-0007,AQS
10/15/2012,61,PM2.5,Long Beach (north),06-037-4002,AQS
10/16/2012,87,Ozone,Santa Clarita,06-037-6012,AQS
10/17/2012,133,Ozone,Pasadena,06-037-2005,AQS
10/18/2012,71,NO2,Long Beach (hudson),06-037-4006,AQS
10/19/2012,87,Ozone,Lancaster-division Street,06-037-9033,AQS
10/20/2012,61,PM2.5,Burbank,06-037-1002,AQS
10/21/2012,43,Ozone,Reseda,06-037-1201,AQS
10/22/2012,51,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
10/23/2012,47,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
10/24/2012,44,Ozone,Reseda,06-037-1201,AQS
10/25/2012,55,NO2,Pomona,06-037-1701,AQS
10/26/2012,62,NO2,Long Beach (hudson),06-037-4006,AQS
10/27/2012,60,NO2,Pomona,06-037-1701,AQS
10/28/2012,84,Ozone,Reseda,06-037-1201,AQS
10/29/2012,97,NO2,Long Beach (hudson),06-037-4006,AQS
10/30/2012,99,PM2.5,Long Beach (south),06-037-4004,AQS
10/31/2012,103,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
11/01/2012,107,PM2.5,Glendora,06-037-0016,AQS
11/02/2012,97,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
11/03/2012,98,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
11/04/2012,71,PM2.5,Long Beach (north),06-037-4002,AQS
11/05/2012,72,NO2,Long Beach (hudson),06-037-4006,AQS
11/06/2012,72,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
11/07/2012,138,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
11/08/2012,70,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
11/09/2012,41,Ozone,Lax Hastings,06-037-5005,AQS
11/10/2012,41,Ozone,Reseda,06-037-1201,AQS
11/11/2012,53,PM2.5,Burbank,06-037-1002,AQS
11/12/2012,59,PM2.5,Burbank,06-037-1002,AQS
11/13/2012,61,NO2,Long Beach (north),06-037-4002,AQS
11/14/2012,79,NO2,Pico Rivera #2,06-037-1602,AQS
11/15/2012,81,PM2.5,Burbank,06-037-1002,AQS
11/16/2012,72,PM2.5,Burbank,06-037-1002,AQS
11/17/2012,56,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
11/18/2012,54,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
11/19/2012,53,PM2.5,Burbank,06-037-1002,AQS
11/20/2012,66,PM2.5,Anaheim,06-059-0007,AQS
11/21/2012,82,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
11/22/2012,114,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
11/23/2012,101,PM2.5,Long Beach (south),06-037-4004,AQS
11/24/2012,58,PM2.5,Anaheim,06-059-0007,AQS
11/25/2012,89,PM2.5,Burbank,06-037-1002,AQS
11/26/2012,115,PM2.5,Burbank,06-037-1002,AQS
11/27/2012,101,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
11/28/2012,101,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
11/29/2012,69,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
11/30/2012,51,PM2.5,Burbank,06-037-1002,AQS
12/01/2012,45,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
12/02/2012,35,PM2.5,Burbank,06-037-1002,AQS
12/03/2012,44,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
12/04/2012,86,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
12/05/2012,107,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
12/06/2012,123,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
12/07/2012,144,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
12/08/2012,153,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
12/09/2012,163,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
12/10/2012,108,PM2.5,Long Beach (south),06-037-4004,AQS
12/11/2012,85,PM2.5,Pico Rivera #2,06-037-1602,AQS
12/12/2012,72,PM2.5,Burbank,06-037-1002,AQS
12/13/2012,43,PM2.5,Burbank,06-037-1002,AQS
12/14/2012,57,PM2.5,Long Beach (south),06-037-4004,AQS
12/15/2012,53,PM2.5,Burbank,06-037-1002,AQS
12/16/2012,53,PM2.5,Burbank,06-037-1002,AQS
12/17/2012,59,PM2.5,Burbank,06-037-1002,AQS
12/18/2012,37,Ozone,Glendora,06-037-0016,AQS
12/19/2012,50,NO2,Long Beach (hudson),06-037-4006,AQS
12/20/2012,54,NO2,Long Beach (hudson),06-037-4006,AQS
12/21/2012,71,PM2.5,Reseda,06-037-1201,AQS
12/22/2012,80,PM2.5,Burbank,06-037-1002,AQS
12/23/2012,66,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
12/24/2012,57,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
12/25/2012,114,PM2.5,Long Beach (north),06-037-4002,AQS
12/26/2012,74,PM2.5,Reseda,06-037-1201,AQS
12/27/2012,48,NO2,Long Beach (hudson),06-037-4006,AQS
12/28/2012,63,PM2.5,Burbank,06-037-1002,AQS
12/29/2012,74,PM2.5,Burbank,06-037-1002,AQS
12/30/2012,74,PM2.5,Long Beach (north),06-037-4002,AQS
12/31/2012,102,PM2.5,Long Beach (north),06-037-4002,AQS
01/01/2013,142,PM2.5,Compton,06-037-1302,AQS
01/02/2013,66,PM2.5,Burbank,06-037-1002,AQS
01/03/2013,75,PM2.5,Long Beach (north),06-037-4002,AQS
01/04/2013,65,PM2.5,Compton,06-037-1302,AQS
01/05/2013,89,PM2.5,Long Beach (south),06-037-4004,AQS
01/06/2013,71,PM2.5,Long Beach (north),06-037-4002,AQS
01/07/2013,58,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
01/08/2013,73,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
01/09/2013,84,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
01/10/2013,51,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
01/11/2013,38,Ozone,Glendora,06-037-0016,AQS
01/12/2013,59,PM2.5,Long Beach (north),06-037-4002,AQS
01/13/2013,77,PM2.5,Long Beach (north),06-037-4002,AQS
01/14/2013,54,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
01/15/2013,61,PM2.5,Long Beach (north),06-037-4002,AQS
01/16/2013,76,PM2.5,Compton,06-037-1302,AQS
01/17/2013,69,NO2,Long Beach (hudson),06-037-4006,AQS
01/18/2013,58,NO2,Long Beach (hudson),06-037-4006,AQS
01/19/2013,59,PM2.5,Long Beach (south),06-037-4004,AQS
01/20/2013,48,NO2,Lax Hastings,06-037-5005,AQS
01/21/2013,76,NO2,Long Beach (hudson),06-037-4006,AQS
01/22/2013,76,NO2,Long Beach (hudson),06-037-4006,AQS
01/23/2013,76,NO2,Long Beach (hudson),06-037-4006,AQS
01/24/2013,54,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
01/25/2013,57,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
01/26/2013,59,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
01/27/2013,55,PM2.5,Burbank,06-037-1002,AQS
01/28/2013,39,Ozone,Santa Clarita,06-037-6012,AQS
01/29/2013,54,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
01/30/2013,73,PM2.5,Long Beach (north),06-037-4002,AQS
01/31/2013,71,PM2.5,Long Beach (north),06-037-4002,AQS
02/01/2013,67,PM2.5,Long Beach (north),06-037-4002,AQS
02/02/2013,76,PM2.5,Long Beach (south),06-037-4004,AQS
02/03/2013,54,PM2.5,Anaheim,06-059-0007,AQS
02/04/2013,88,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
02/05/2013,149,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
02/06/2013,108,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
02/07/2013,94,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
02/08/2013,44,Ozone,Lax Hastings,06-037-5005,AQS
02/09/2013,62,PM2.5,Long Beach (north),06-037-4002,AQS
02/10/2013,59,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
02/11/2013,60,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
02/12/2013,57,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
02/13/2013,74,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
02/14/2013,86,PM2.5,Long Beach (north),06-037-4002,AQS
02/15/2013,76,NO2,Lax Hastings,06-037-5005,AQS
02/16/2013,49,Ozone,Santa Clarita,06-037-6012,AQS
02/17/2013,59,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
02/18/2013,73,PM2.5,Burbank,06-037-1002,AQS
02/19/2013,52,PM10,Lancaster-division Street,06-037-9033,AQS
02/20/2013,44,Ozone,Lax Hastings,06-037-5005,AQS
02/21/2013,50,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
02/22/2013,58,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
02/23/2013,64,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
02/24/2013,56,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
02/25/2013,52,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
02/26/2013,65,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
02/27/2013,63,NO2,Long Beach (hudson),06-037-4006,AQS
02/28/2013,62,NO2,Long Beach (hudson),06-037-4006,AQS
03/01/2013,64,NO2,Long Beach (hudson),06-037-4006,AQS
03/02/2013,61,Ozone,Santa Clarita,06-037-6012,AQS
03/03/2013,74,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
03/04/2013,71,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
03/05/2013,103,PM2.5,Burbank,06-037-1002,AQS
03/06/2013,43,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
03/07/2013,43,Ozone,Lancaster-division Street,06-037-9033,AQS
03/08/2013,44,Ozone,Lax Hastings,06-037-5005,AQS
03/09/2013,59,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
03/10/2013,62,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
03/11/2013,74,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
03/12/2013,88,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
03/13/2013,139,PM2.5,Anaheim,06-059-0007,AQS
03/14/2013,97,Ozone,Santa Clarita,06-037-6012,AQS
03/15/2013,132,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
03/16/2013,122,PM2.5,Burbank,06-037-1002,AQS
03/17/2013,97,PM2.5,Burbank,06-037-1002,AQS
03/18/2013,92,PM2.5,Burbank,06-037-1002,AQS
03/19/2013,108,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
03/20/2013,92,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
03/21/2013,64,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
03/22/2013,74,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
03/23/2013,87,Ozone,Santa Clarita,06-037-6012,AQS
03/24/2013,119,Ozone,Glendora,06-037-0016,AQS
03/25/2013,106,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
03/26/2013,106,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
03/27/2013,75,PM2.5,Burbank,06-037-1002,AQS
03/28/2013,85,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
03/29/2013,92,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
03/30/2013,73,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
03/31/2013,53,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
04/01/2013,48,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
04/02/2013,65,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
04/03/2013,86,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
04/04/2013,93,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
04/05/2013,62,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
